"train/global_step","llama-3.1-8b-finetuning-v1 - _step","llama-3.1-8b-finetuning-v1 - _step__MIN","llama-3.1-8b-finetuning-v1 - _step__MAX","llama-3.1-8b-finetuning-v1 - train/learning_rate","llama-3.1-8b-finetuning-v1 - train/learning_rate__MIN","llama-3.1-8b-finetuning-v1 - train/learning_rate__MAX"
"300","33.666666666666664","31","35","0.00018356913551676127","0.00017449430269325474","0.00019938475149767663"
"310","35.333333333333336","32","37","0.00018195510223357688","0.00017199627109312614","0.00019932143563931824"
"320","36.333333333333336","33","38","0.00018027744270371457","0.00016940127483472544","0.0001992550304665821"
"330","37.333333333333336","34","39","0.00017853828573077162","0.00016671280886191005","0.00019918553804494833"
"340","38.333333333333336","35","40","0.00017673983782395854","0.00016393449400365305","0.00019911296053592352"
"350","39.333333333333336","36","41","0.0001748843803556251","0.00016107007209750687","0.00019903730019697345"
"360","41","37","43","0.00017297426662243342","0.0001581234009500919","0.00019895855938145292"
"370","42","38","44","0.00017101191881397455","0.0001550984491413987","0.00019887674053853242"
"380","43","39","45","0.00016899982489274493","0.00015199929067989974","0.0001987918462131221"
"390","44","40","46","0.0001669405353895119","0.0001488300995156703","0.00019870387904579245"
"400","45","41","47","0.00016483666011820797","0.00014559514391890787","0.0001986128417726925"
"410","47","43","49","0.00016269086481459692","0.00014229878073142112","0.0001985187372254642"
"420","48","44","50","0.00016050586770305328","0.00013894544949883046","0.00019842156833115487"
"430","49","45","51","0.00015828443599588866","0.00013553966649138298","0.0001983213381121257"
"440","50","46","52","0.00015602938232974647","0.00013208601862143467","0.00019821804968595807"
"450","51","47","53","0.00015374356114366728","0.0001285891572657919","0.0001981117062653565"
"460","52.666666666666664","48","55","0.00015142986500350122","0.00012505379200123174","0.0001980023111580486"
"470","53.666666666666664","49","56","0.00014909122087741462","0.00012148468426163863","0.00019788986776668227"
"480","54.666666666666664","50","57","0.00014673058636730017","0.0001178866409253003","0.00019777437958871995"
"490","55.666666666666664","51","58","0.00014435094590095564","0.00011426450784099829","0.00019765585021632972"
"500","56.666666666666664","52","59","0.00014195530688994852","0.00011062316330161366","0.00019753428333627352"
"510","58.333333333333336","53","61","0.00013954669585812678","0.00010696751147403658","0.0001974096827297926"
"520","59.333333333333336","54","62","0.00013712815454577375","0.00010330247579422897","0.00019728205227248995"
"530","60.333333333333336","55","63","0.00013470273599443605","0.00009963299233633544","0.00019715139593420953"
"540","61.333333333333336","56","64","0.00013227350061747933","0.00009596400316477296","0.00019701771777891298"
"550","62.333333333333336","57","65","0.00012984351226144294","0.00009230044967825323","0.00019688102196455316"
"560","64","58","67","0.00012741583426327774","0.00008864726595470125","0.0001967413127429448"
"570","65","59","68","0.00012499352550855537","0.00008500937210603369","0.00019659859445963235"
"580","66","60","69","0.0001225796364957355","0.00008139166765174656","0.00019645287155375458"
"590","67","61","70","0.00012017720541157116","0.00007779902492023709","0.00019630414855790682"
"600","68","62","71","0.00011778925422271426","0.00007423628248674633","0.0001961524300979997"
"610","70","64","73","0.00011541878478856563","0.00007070823865676047","0.00019599772089311547"
