"train/global_step","llama-3.1-8b-finetuning-v1 - _step","llama-3.1-8b-finetuning-v1 - _step__MIN","llama-3.1-8b-finetuning-v1 - _step__MAX","llama-3.1-8b-finetuning-v1 - train/grad_norm","llama-3.1-8b-finetuning-v1 - train/grad_norm__MIN","llama-3.1-8b-finetuning-v1 - train/grad_norm__MAX"
"750","85.33333333333333","78","89","0.3014836510022481","0.260829895734787","0.3480994403362274"
"760","87","79","91","0.27463508148988086","0.22972692549228668","0.33275413513183594"
"770","88","80","92","0.30750096837679547","0.2898513972759247","0.34194228053092957"
"780","89","81","93","0.29437317450841266","0.2887979745864868","0.29930374026298523"
"790","90","82","94","0.24451176325480142","0.22844341397285461","0.2525888979434967"
"800","91","83","95","0.2842990756034851","0.2505657374858856","0.3348248302936554"
"810","91","85","97","0.2754219323396683","0.25074082612991333","0.3001030385494232"
"820","92","86","98","0.28849107027053833","0.2436545491218567","0.33332759141921997"
"830","93","87","99","0.2823762893676758","0.26289233565330505","0.3018602430820465"
"840","94","88","100","0.24814248085021973","0.20898088812828064","0.2873040735721588"
"850","95","89","101","0.2889982908964157","0.28798338770866394","0.2900131940841675"
"860","96.5","90","103","0.2891546040773392","0.23317837715148926","0.3451308310031891"
"870","97.5","91","104","0.24077466875314713","0.2263628989458084","0.25518643856048584"
"880","98.5","92","105","0.22896889597177505","0.2160690724849701","0.24186871945858002"
"890","99.5","93","106","0.270882710814476","0.2349238097667694","0.3068416118621826"
"900","100.5","94","107","0.25684110075235367","0.23506836593151093","0.2786138355731964"
"910","102","95","109","0.29916512221097946","0.22939832508563995","0.36893191933631897"
"920","103","96","110","0.29166533052921295","0.20157656073570251","0.3817541003227234"
"930","104","97","111","0.2775527238845825","0.24367183446884155","0.3114336133003235"
"940","105","98","112","0.3047806918621063","0.26922619342803955","0.3403351902961731"
"950","106","99","113","0.26240673661231995","0.21862053871154785","0.30619293451309204"
"960","100","100","100","0.35224825143814087","0.35224825143814087","0.35224825143814087"
"970","101","101","101","0.36685335636138916","0.36685335636138916","0.36685335636138916"
"980","102","102","102","0.33362358808517456","0.33362358808517456","0.33362358808517456"
"990","103","103","103","0.37542858719825745","0.37542858719825745","0.37542858719825745"
"1000","104","104","104","0.32559603452682495","0.32559603452682495","0.32559603452682495"
