"train/global_step","llama-3.1-8b-finetuning-v1 - _step","llama-3.1-8b-finetuning-v1 - _step__MIN","llama-3.1-8b-finetuning-v1 - _step__MAX","llama-3.1-8b-finetuning-v1 - train/grad_norm","llama-3.1-8b-finetuning-v1 - train/grad_norm__MIN","llama-3.1-8b-finetuning-v1 - train/grad_norm__MAX"
"1","0","0","0","1.3911640346050262","1.3446356058120728","1.4694112539291382"
"10","1","1","1","1.115201473236084","1.0840307474136353","1.181272268295288"
"20","2.25","2","3","0.7356828451156616","0.700300395488739","0.7779195308685303"
"30","3.5","3","5","0.6663634032011032","0.573557436466217","0.8196272253990173"
"40","4.75","4","7","0.46225491166114807","0.4543026089668274","0.4716164469718933"
"50","6","5","9","0.4686043784022331","0.42511871457099915","0.5163069367408752"
"60","7.75","6","11","0.5734618157148361","0.5136828422546387","0.6379427313804626"
"70","9","7","13","0.4044025391340256","0.3549644351005554","0.4761589467525482"
"80","10.25","8","15","0.4378415569663048","0.25473031401634216","0.6263771653175354"
"90","11.5","9","17","0.2952263802289963","0.2697823643684387","0.32707124948501587"
"100","12.75","10","19","0.37845180928707123","0.3226960301399231","0.44142282009124756"
"110","12.333333333333334","11","13","0.31027598182360333","0.2534872591495514","0.42261427640914917"
"120","13.333333333333334","12","14","0.3167368570963542","0.23952582478523254","0.46990442276000977"
"130","14.333333333333334","13","15","0.280239204565684","0.271954208612442","0.29655948281288147"
"140","15.333333333333334","14","16","0.29690229892730713","0.2585083842277527","0.37281903624534607"
"150","16.333333333333332","15","17","0.2795078257719676","0.27563416957855225","0.28655359148979187"
"160","18","16","19","0.2741098056236903","0.23850801587104797","0.344982385635376"
"170","19","17","20","0.2974589616060257","0.23475760221481323","0.42179232835769653"
"180","20","18","21","0.2841458519299825","0.2805536389350891","0.2890605330467224"
"190","21","19","22","0.2897612353165944","0.2606832683086395","0.3457828164100647"
"200","22","20","23","0.3159131904443105","0.2655583918094635","0.41460636258125305"
"210","24","22","25","0.3187432289123535","0.277508020401001","0.40056028962135315"
"220","25","23","26","0.2625127285718918","0.2340649962425232","0.3176659941673279"
"230","26","24","27","0.2502920478582382","0.20931871235370636","0.33195990324020386"
"240","27","25","28","0.27295003334681195","0.24377715587615967","0.331073522567749"
"250","28","26","29","0.31114450097084045","0.2904852330684662","0.35191142559051514"
"260","29.666666666666668","27","31","0.28876068194707233","0.2565004229545593","0.35200658440589905"
"270","30.666666666666668","28","32","0.2674252539873123","0.2090730369091034","0.3775404393672943"
"280","31.666666666666668","29","33","0.2929253776868184","0.2632943391799927","0.3481454849243164"
"290","32.666666666666664","30","34","0.3392551044623057","0.3059285879135132","0.40572041273117065"
"300","33.666666666666664","31","35","0.27727507551511127","0.2284156233072281","0.36216744780540466"
"310","35.333333333333336","32","37","0.2664218644301097","0.2388180047273636","0.31921276450157166"
"320","36.333333333333336","33","38","0.28332456946372986","0.2369527369737625","0.3694268465042114"
"330","37.333333333333336","34","39","0.28896957635879517","0.23511627316474915","0.3937000334262848"
"340","38.333333333333336","35","40","0.3048819998900096","0.2628594636917114","0.3881972134113312"
"350","39.333333333333336","36","41","0.27889113624890643","0.2638627886772156","0.307697594165802"
"360","41","37","43","0.2768826087315877","0.23276744782924652","0.3595772385597229"
"370","42","38","44","0.3001356323560079","0.2630370259284973","0.36792340874671936"
"380","43","39","45","0.2730310261249542","0.24184060096740723","0.3259970545768738"
"390","44","40","46","0.2798001170158386","0.22867049276828766","0.3707544803619385"
"400","45","41","47","0.27538817127545673","0.244720458984375","0.33273985981941223"
"410","47","43","49","0.3282240728537242","0.2560088634490967","0.45823052525520325"
"420","48","44","50","0.2884533802668254","0.2381764054298401","0.376315712928772"
"430","49","45","51","0.33285239338874817","0.2966274321079254","0.3928263485431671"
"440","50","46","52","0.23378312587738037","0.18489766120910645","0.3192213177680969"
"450","51","47","53","0.32388102014859516","0.2217695266008377","0.5231474041938782"
"460","52.666666666666664","48","55","0.26890398065249127","0.2591724991798401","0.2824800908565521"
"470","53.666666666666664","49","56","0.28020286560058594","0.25313737988471985","0.3258533179759979"
"480","54.666666666666664","50","57","0.27218665679295856","0.26511454582214355","0.2862935960292816"
"490","55.666666666666664","51","58","0.2934958338737488","0.25001245737075806","0.36576858162879944"
"500","56.666666666666664","52","59","0.24906004468599954","0.19128479063510895","0.34729501605033875"
"510","58.333333333333336","53","61","0.29044216871261597","0.27666008472442627","0.30108514428138733"
"520","59.333333333333336","54","62","0.25635047753651935","0.21433025598526","0.33420512080192566"
"530","60.333333333333336","55","63","0.2797342836856842","0.22184918820858002","0.3740270733833313"
"540","61.333333333333336","56","64","0.2761288781960805","0.25298550724983215","0.2892632484436035"
"550","62.333333333333336","57","65","0.2572857588529587","0.22892670333385468","0.2924002408981323"
"560","64","58","67","0.2851194540659587","0.2575029730796814","0.32493114471435547"
"570","65","59","68","0.26861371099948883","0.2153603434562683","0.3563803434371948"
"580","66","60","69","0.3080256034930547","0.22459439933300018","0.42467448115348816"
"590","67","61","70","0.2395412027835846","0.21139390766620636","0.26281851530075073"
"600","68","62","71","0.2505662441253662","0.23679764568805695","0.26516464352607727"
"610","70","64","73","0.26749075949192047","0.21393811702728271","0.3613642156124115"
"620","71","65","74","0.28174781799316406","0.25871095061302185","0.3061918020248413"
"630","72","66","75","0.2747362554073334","0.26597923040390015","0.2860179841518402"
"640","73","67","76","0.2954339583714803","0.2433103322982788","0.3800148367881775"
"650","74","68","77","0.2544219394524892","0.2247198522090912","0.29164251685142517"
"660","75.66666666666667","69","79","0.2355890472730001","0.20723165571689606","0.2658742368221283"
"670","76.66666666666667","70","80","0.27245846887429553","0.2401621788740158","0.31557372212409973"
"680","77.66666666666667","71","81","0.2841978669166565","0.23425063490867615","0.3507380783557892"
"690","78.66666666666667","72","82","0.30217499534289044","0.2523413300514221","0.3630917966365814"
"700","79.66666666666667","73","83","0.25549274186293286","0.2071494609117508","0.3260730803012848"
"710","81.33333333333333","74","85","0.2918604612350464","0.2422451376914978","0.3677412271499634"
"720","82.33333333333333","75","86","0.2548133780558904","0.23810245096683502","0.2690410017967224"
"730","83.33333333333333","76","87","0.2760554055372874","0.23231267929077148","0.3405185341835022"
"740","84.33333333333333","77","88","0.2715270221233368","0.2519376873970032","0.2892132103443146"
